,Network Id,Retailer LocId,Retailer Location Name,Agency #,Activation Start Date,Activation End Date,Vacation Start1,Vacation End1,Vacation Start2,Vacation End2,Vacation Start3,Vacation End3,Vacation Start4,Vacation End4,Holiday1,Holiday2,Holiday3,Holiday4,Location Address,Location City,Location Region,Location Postalcode,Location Phone,Location Email,Location Direction,Working Days,Opening Hr Day1,Opening Hr Day2,Opening Hr Day3,Opening Hr Day4,Opening Hr Day5,Opening Hr Day6,Opening Hr Day7,Opening Hrs Holiday,Lattitude,Longitude,Is Active,Last Update,Unique Key,Location Address2
,FRMRS,82597,COCCINELLE EXPRESS,6068,29-10-2015,,,,,,,,,,,,,,59 COURS DE VERDUN,BORDEAUX,,33000,,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","09:00 - 12:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00",,"44,8511944","-0,574709",Y,01-MAR-16 10.47.56.022441000 AM,BB38DDAB0C2B15F10A7AB7AA16EF5DF4,
,FRMRS,82619,BOULANGERIE PATISSERIE,7200,14-1-2013,,,,,,,,,,9-2-2016,,,,11 RUE CHARLES LECHEVREL,ANET,,28260,,,CENTRE VILLE,"Sun,Tue,Wed,Thu,Fri,Sat","07:30 - 13:00,00:00 - 00:00","00:00 - 00:00,00:00 - 00:00","07:00 - 13:30,15:30 - 19:30","07:00 - 13:30,15:30 - 19:30","07:00 - 13:30,15:30 - 19:30","07:00 - 13:30,15:30 - 19:30","07:00 - 13:30,15:30 - 19:30",,"48,856743","1,437543",Y,01-MAR-16 10.47.56.022441000 AM,534C31FBD4EF920784962D7D8E58F2B8,
,FRMRS,82635,MAISON DE LA PRESSE,2658,1-9-2005,,,,,,,,,,5-6-2015,,,,46 COURS DES PLATANES,LAPALUD,,84840,,,CENTRE DU VILLAGE A COTE DU    CAFE,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","06:30 - 12:15,00:00 - 00:00","06:30 - 12:15,15:30 - 19:00","06:30 - 12:15,15:30 - 19:00","06:30 - 12:15,15:30 - 19:00","06:30 - 12:15,15:30 - 19:00","06:30 - 12:15,15:30 - 19:00","06:30 - 12:15,00:00 - 00:00",,"44,30546","4,6870484",Y,01-MAR-16 10.47.56.022441000 AM,DD0D70125536E43B6CFF62CEFE493CF2,
,FRMRS,82660,CORDONNERIE ARTISANALE CLES,7188,19-10-2015,,,,,,,,,,24-12-2015,26-12-2015,2-1-2016,,13 ROUTE DE LODEVE,MONTPELLIER,,34080,,,13 ROUTE DE LODEVE 34080 MONTP ELLIER,"Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","00:00 - 00:00,00:00 - 00:00","09:30 - 12:30,14:30 - 18:30","09:30 - 12:30,14:30 - 18:30","09:30 - 12:30,14:30 - 18:30","09:30 - 12:30,14:30 - 18:30","09:30 - 12:30,14:30 - 18:30",,"43,6157588","3,8289928",Y,01-MAR-16 10.47.56.022441000 AM,A46B96BCE27121AD4CA61A4ACF88EE4E,
,FRMRS,82724,OBJEC'TIF COIFFURE,2542,4-7-2014,,,,,,,,,,16-8-2014,,,,25 RUE D'ETAMPES,DOURDAN,,91410,,,,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","09:00 - 17:00,00:00 - 00:00","09:00 - 12:30,14:00 - 18:30","09:00 - 12:30,00:00 - 00:00","09:00 - 12:30,14:00 - 18:30","09:00 - 12:30,14:00 - 18:30","09:00 - 12:00,14:00 - 18:00",,"48,5280741","2,0138599",Y,01-MAR-16 10.47.56.022441000 AM,B859FD9A446EA165FD753B5DA8D701C9,
,FRMRS,82732,STATION AVIA DES TILLEULS,2216,8-1-2008,,,,,,,,,,,,,16-8-2013,154 AVENUE TILLEULS,GEX,,1170,,,SORTIE CENTRE DIR STATION      GEX PROX. LA POSTE,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","07:30 - 12:15,13:30 - 19:00","07:00 - 12:15,13:30 - 20:00","07:00 - 12:15,13:30 - 20:00","07:00 - 12:15,13:30 - 20:00","07:00 - 12:15,13:30 - 20:00","07:00 - 12:15,13:30 - 20:00","07:00 - 12:15,13:30 - 20:00",,"46,360672","6,0370355",Y,01-MAR-16 10.47.56.022441000 AM,1B14F85E0B8766AAD63E52232FC3EE35,
,FRMRS,82759,LECLERC,7226,23-5-2015,,,,,,,,,,,,,,16 RUE DE LA 2EM D.B,BREST,,29200,,,C.CIAL LECLERC CENTRE VILLE,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00","09:00 - 20:00,00:00 - 00:00",,"48,3925384","-4,4837952",Y,01-MAR-16 10.47.56.022441000 AM,B6857AE16AC0F62570497230CC9207AB,
,FRMRS,82767,LA ROSERAIE,6483,31-1-2016,,,,,,,,,,,,,,ROUTE DE SALON,MOURIES,,13890,,,,"Sun,Mon,Tue,Wed,Thu,Fri,Sat","08:30 - 12:30,00:00 - 00:00","08:30 - 12:00,15:00 - 19:00","08:30 - 12:00,15:00 - 19:00","08:30 - 12:00,15:00 - 19:00","08:30 - 12:00,15:00 - 19:00","08:30 - 12:00,15:00 - 19:00","08:30 - 12:30,15:00 - 19:30",,"43,6870842","4,8840666",Y,01-MAR-16 10.47.56.022441000 AM,8FC62E9BC58F36A5C56C3CC949A09D97,
,FRMRS,82783,CLV AUTOMOBILES,7196,27-1-2014,,,,,,,,,,,,,,BRESSUIRE,ST SAUVEUR DE GIVRE EN MAI,,79300,,,ZAC EST                        SAINT SAUVEUR,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","08:00 - 12:00,14:00 - 19:00","08:00 - 12:00,14:00 - 19:00","08:00 - 12:00,14:00 - 19:00","08:00 - 12:00,14:00 - 19:00","08:00 - 12:00,14:00 - 19:00","08:30 - 12:00,14:30 - 17:30",,"46,83479","-0,4747134",Y,01-MAR-16 10.47.56.022441000 AM,173FD37862779B8D7783B1B50D17B567,
,FRMRS,86878,MAN PRESSE,7439,21-5-2015,,,,,,,,,,25-7-2015,,,,52 AVENUE TOLOSANE,MANE,,31260,,,CCIAL INTERMARCHE,"Mon,Tue,Wed,Thu,Fri,Sat","00:00 - 00:00,00:00 - 00:00","08:00 - 12:45,13:45 - 19:00","08:00 - 12:45,13:45 - 19:00","08:00 - 12:45,13:45 - 19:00","08:00 - 12:45,13:45 - 19:00","08:00 - 12:45,13:45 - 19:00","08:00 - 12:45,13:45 - 19:00",,"43,0887181","0,9509907",Y,01-MAR-16 10.47.56.980868000 AM,339B61146E54DF30502A206A8FB7DC60,
